c_id,Target,Age,Gender,Occupation,No_OF_CR_TXNS,AGE_BKT
1,0,41,M,SELF-EMP,38,41-45
2,0,52,M,SAL,17,>50
3,0,31,F,SENP,8,31-35
4,0,45,F,PROF,14,41-45
5,0,39,F,SENP,1,36-40
6,0,45,M,SENP,11,41-45
7,1,33,M,SAL,24,31-35
8,0,26,F,SELF-EMP,18,26-30
9,0,38,M,SAL,19,36-40
10,1,44,M,SELF-EMP,17,41-45
11,0,28,M,SAL,28,26-30
12,0,33,M,SENP,8,31-35
13,0,41,M,PROF,14,41-45
14,0,42,M,SAL,34,41-45
15,0,43,M,SELF-EMP,16,41-45
16,0,49,M,SAL,11,46-50
17,0,46,M,SENP,4,46-50
18,0,31,M,SELF-EMP,18,31-35
19,0,35,F,SENP,3,31-35
20,0,23,F,SENP,14,<25
21,0,25,M,PROF,1,<25
22,0,43,F,SENP,11,41-45
23,1,41,M,PROF,50,41-45
24,0,46,M,SELF-EMP,28,46-50
25,0,52,M,SAL,27,>50
26,0,37,F,SENP,18,36-40
27,0,47,M,SENP,15,46-50
28,0,52,F,SENP,20,>50
29,0,54,M,SELF-EMP,18,>50
30,0,48,F,PROF,31,46-50
31,0,50,M,SENP,8,46-50
32,0,43,M,PROF,8,41-45
33,0,43,M,SAL,29,41-45
34,0,28,M,SENP,32,26-30
35,0,48,F,SENP,12,46-50
36,0,41,F,SENP,3,41-45
37,0,50,M,PROF,11,46-50
38,0,41,M,PROF,50,41-45
39,0,29,M,SELF-EMP,14,26-30
40,0,25,M,PROF,16,<25
41,0,24,M,SELF-EMP,0,<25
42,1,40,M,SAL,24,36-40
43,0,45,M,PROF,31,41-45
44,0,36,F,SAL,20,36-40
45,0,32,M,SAL,5,31-35
46,0,34,M,SAL,12,31-35
47,0,47,F,SENP,3,46-50
48,0,39,M,SAL,48,36-40
49,0,53,F,SENP,9,>50
50,0,35,M,PROF,31,31-35
51,0,53,F,SENP,12,>50
52,0,54,F,SENP,19,>50
53,0,55,M,PROF,41,>50
54,0,34,M,PROF,5,31-35
55,0,39,F,SENP,11,36-40
56,0,28,M,SAL,4,26-30
57,0,44,M,PROF,12,41-45
58,0,31,M,SELF-EMP,14,31-35
59,0,50,M,SENP,12,46-50
60,0,25,F,SELF-EMP,7,<25
61,0,44,M,SELF-EMP,7,41-45
62,0,52,M,PROF,14,>50
63,0,34,F,SENP,20,31-35
64,0,36,M,SELF-EMP,37,36-40
65,0,32,M,SAL,47,31-35
66,0,52,M,SAL,45,>50
67,0,32,M,PROF,13,31-35
68,1,32,F,SAL,50,31-35
69,0,30,O,PROF,46,26-30
70,0,45,M,PROF,2,41-45
71,0,39,F,SENP,7,36-40
72,0,47,M,SENP,10,46-50
73,0,30,M,PROF,7,26-30
74,0,55,M,SELF-EMP,41,>50
75,0,24,M,SENP,17,<25
76,0,55,M,SAL,20,>50
